3,Bo,1,[1]
4,Ck,2,"[0, 2]"
4,Cs,2,"[1, 2]"
5,DkC,2,"[0, 2]"
5,Dk_,2,"[1, 3]"
5,Ds_,3,"[1, 2, 4]"
6,Eh_G,2,"[0, 2]"
6,Ei_G,3,"[0, 2, 3]"
6,Eia?,3,"[1, 3, 4]"
6,EkE?,2,"[1, 3]"
6,Eka?,3,"[1, 3, 4]"
6,Esa?,4,"[1, 2, 3, 4]"
7,Fh_GG,3,"[0, 2, 5]"
7,Fh_GO,3,"[1, 3, 5]"
7,Fh_K?,3,"[1, 3, 4]"
7,FiQ?G,4,"[0, 2, 3, 4]"
7,Fi_GO,4,"[0, 2, 4, 5]"
7,Fi_K?,3,"[1, 2, 4]"
7,FiaC?,4,"[1, 2, 4, 6]"
7,FkE?G,3,"[0, 1, 5]"
7,FkEC?,3,"[1, 3, 5]"
7,FkaC?,4,"[1, 3, 4, 6]"
7,FsaC?,5,"[1, 2, 3, 5, 6]"
8,GhE?GC,3,"[1, 3, 5]"
8,GhI?GC,3,"[0, 3, 6]"
8,GhI?GG,4,"[0, 3, 4, 7]"
8,GhQ?GC,3,"[0, 3, 6]"
8,GhQ?GG,4,"[0, 1, 2, 7]"
8,GhQ?K?,3,"[1, 2, 5]"
8,Gh_GK?,3,"[0, 1, 5]"
8,Gh_GOO,4,"[1, 4, 5, 6]"
8,Gh_GS?,3,"[0, 2, 5]"
8,Gh_K?C,3,"[0, 2, 4]"
8,Gh_KC?,4,"[0, 2, 5, 6]"
8,GiPC?C,5,"[0, 2, 3, 4, 5]"
8,GiQ?GG,5,"[0, 1, 2, 4, 6]"
8,GiQ?K?,4,"[1, 2, 3, 5]"
8,GiQCC?,5,"[1, 2, 3, 5, 7]"
8,Gi_GS?,4,"[0, 2, 5, 6]"
8,Gi_K?C,3,"[2, 4, 6]"
8,Gi_KC?,4,"[2, 4, 6, 7]"
8,GiaCC?,5,"[1, 2, 4, 5, 6]"
8,GkE?K?,3,"[1, 3, 5]"
8,GkECC?,4,"[1, 3, 5, 6]"
8,GkaCC?,5,"[1, 3, 4, 5, 6]"
8,GsaCC?,6,"[1, 2, 3, 4, 6, 7]"
9,HhE?GC@,4,"[0, 2, 6, 7]"
9,HhE?GCA,4,"[0, 2, 4, 7]"
9,HhE?GCC,4,"[0, 4, 7, 8]"
9,HhE?GE?,3,"[0, 2, 6]"
9,HhGc?C@,4,"[0, 3, 5, 7]"
9,HhHC?C@,4,"[1, 3, 4, 6]"
9,HhI?GCA,4,"[0, 2, 3, 7]"
9,HhI?GCC,4,"[0, 3, 4, 6]"
9,HhI?GE?,4,"[0, 2, 4, 5]"
9,HhI?GGC,5,"[1, 3, 6, 7, 8]"
9,HhI?GI?,4,"[0, 2, 3, 6]"
9,HhI?K?@,4,"[1, 3, 5, 7]"
9,HhI?KA?,5,"[0, 3, 5, 7, 8]"
9,HhOK?C@,4,"[2, 4, 6, 7]"
9,HhPC?C@,4,"[0, 2, 4, 8]"
9,HhQ?GCC,4,"[0, 1, 3, 7]"
9,HhQ?GE?,3,"[0, 2, 6]"
9,HhQ?GGC,5,"[0, 2, 4, 6, 7]"
9,HhQ?GI?,4,"[0, 2, 6, 7]"
9,HhQ?K?@,4,"[0, 2, 5, 7]"
9,HhQ?KA?,4,"[2, 4, 5, 7]"
9,Hh_GK?@,3,"[0, 2, 5]"
9,Hh_GKA?,4,"[0, 1, 5, 7]"
9,Hh_GOOG,5,"[1, 2, 5, 6, 8]"
9,Hh_GOQ?,4,"[0, 2, 5, 6]"
9,Hh_GS?@,4,"[3, 4, 5, 7]"
9,Hh_GSA?,4,"[0, 2, 5, 7]"
9,Hh_K?E?,4,"[0, 2, 5, 6]"
9,Hh_KCA?,5,"[1, 2, 4, 6, 7]"
9,HiPAC?@,6,"[0, 2, 3, 4, 5, 7]"
9,HiPC?CA,6,"[0, 1, 2, 3, 5, 7]"
9,HiPC?E?,5,"[2, 3, 5, 7, 8]"
9,HiQ?GGC,6,"[0, 2, 3, 5, 6, 8]"
9,HiQ?GI?,5,"[0, 2, 3, 4, 6]"
9,HiQ?K?@,4,"[2, 3, 5, 7]"
9,HiQ?KA?,5,"[2, 3, 4, 5, 7]"
9,HiQCCA?,6,"[0, 2, 4, 5, 6, 7]"
9,Hi_GS?@,4,"[2, 4, 6, 7]"
9,Hi_GSA?,5,"[0, 1, 2, 5, 7]"
9,Hi_K?E?,4,"[2, 3, 4, 6]"
9,Hi_KCA?,5,"[2, 4, 6, 7, 8]"
9,HiaCCA?,6,"[0, 3, 4, 5, 7, 8]"
9,HkE?K?@,4,"[0, 3, 5, 7]"
9,HkE?KA?,4,"[1, 3, 5, 7]"
9,HkECCA?,5,"[1, 3, 5, 6, 8]"
9,HkaCCA?,6,"[1, 3, 4, 5, 7, 8]"
9,HsaCCA?,7,"[1, 2, 4, 5, 6, 7, 8]"
10,IhCK?C@?G,4,"[1, 3, 6, 8]"
10,IhCS?C@?G,4,"[1, 4, 6, 8]"
10,IhCS?C@?O,5,"[0, 2, 4, 8, 9]"
10,IhCc?C@?G,4,"[0, 2, 3, 9]"
10,IhCc?C@?O,4,"[0, 2, 3, 8]"
10,IhCc?C@?_,4,"[0, 3, 5, 7]"
10,IhDC?C@?G,4,"[2, 5, 6, 8]"
10,IhDC?C@?O,4,"[1, 3, 6, 8]"
10,IhDC?C@?_,4,"[0, 1, 3, 7]"
10,IhDC?C@_?,4,"[1, 3, 6, 9]"
10,IhE?GC@_?,4,"[1, 3, 5, 7]"
10,IhE?GCA?_,5,"[0, 2, 7, 8, 9]"
10,IhE?GCA@?,4,"[1, 4, 5, 7]"
10,IhE?GCA_?,4,"[0, 2, 6, 7]"
10,IhE?GCC?G,4,"[2, 3, 6, 8]"
10,IhE?GCC@?,4,"[1, 3, 6, 8]"
10,IhE?GCC_?,4,"[1, 3, 5, 7]"
10,IhE?GE??G,4,"[1, 3, 7, 8]"
10,IhE?GE?_?,4,"[0, 2, 6, 8]"
10,IhG`C?@?G,5,"[0, 3, 5, 6, 8]"
10,IhGaC?@?G,5,"[0, 3, 4, 5, 8]"
10,IhGc?C@?O,5,"[0, 2, 3, 4, 8]"
10,IhGc?C@?_,5,"[0, 3, 4, 5, 7]"
10,IhGc?C@_?,5,"[0, 3, 4, 7, 9]"
10,IhGc?CA?_,6,"[0, 3, 4, 5, 7, 8]"
10,IhH?K?@?G,4,"[0, 4, 6, 8]"
10,IhHAC?@?G,5,"[0, 3, 4, 5, 8]"
10,IhHC?C@?O,5,"[1, 4, 6, 7, 8]"
10,IhHC?C@?_,4,"[1, 3, 6, 7]"
10,IhHC?C@_?,4,"[0, 3, 5, 7]"
10,IhHC?CA?_,5,"[1, 3, 6, 7, 9]"
10,IhHC?CA_?,5,"[0, 1, 3, 4, 7]"
10,IhI?GCA_?,5,"[0, 1, 3, 6, 7]"
10,IhI?GCC?G,4,"[0, 3, 6, 8]"
10,IhI?GCC@?,5,"[1, 3, 7, 8, 9]"
10,IhI?GCC_?,4,"[0, 2, 3, 6]"
10,IhI?GE??G,4,"[0, 3, 6, 9]"
10,IhI?GE?_?,5,"[0, 2, 3, 6, 8]"
10,IhI?GGC@?,6,"[1, 3, 6, 7, 8, 9]"
10,IhI?GGC_?,5,"[0, 2, 4, 6, 7]"
10,IhI?GI??G,5,"[1, 3, 4, 6, 9]"
10,IhI?GI?_?,5,"[0, 2, 3, 6, 8]"
10,IhI?K?@_?,5,"[0, 3, 5, 7, 9]"
10,IhI?KA?_?,6,"[0, 3, 5, 7, 8, 9]"
10,IhOIC?@?G,4,"[0, 2, 4, 8]"
10,IhOK?C@?_,4,"[0, 3, 4, 8]"
10,IhOK?C@_?,4,"[2, 4, 6, 8]"
10,IhOK?CA?_,5,"[0, 2, 4, 7, 8]"
10,IhOK?CA_?,4,"[0, 2, 4, 7]"
10,IhOK?E??G,4,"[0, 2, 4, 6]"
10,IhPAC?@?G,5,"[0, 2, 4, 5, 9]"
10,IhPC?C@?_,5,"[0, 2, 4, 7, 9]"
10,IhPC?C@_?,4,"[0, 2, 4, 7]"
10,IhPC?CA?_,6,"[0, 2, 5, 6, 7, 8]"
10,IhPC?CA_?,5,"[0, 2, 4, 7, 8]"
10,IhPC?E??G,4,"[2, 4, 6, 8]"
10,IhPC?E?_?,5,"[2, 4, 5, 6, 8]"
10,IhQ?GCC_?,4,"[0, 2, 5, 6]"
10,IhQ?GE??G,4,"[2, 4, 5, 8]"
10,IhQ?GE?_?,4,"[0, 2, 6, 8]"
10,IhQ?GGC@?,6,"[0, 2, 4, 6, 7, 9]"
10,IhQ?GGC_?,5,"[0, 2, 6, 7, 8]"
10,IhQ?GI??G,4,"[1, 2, 6, 8]"
10,IhQ?GI?_?,5,"[0, 2, 5, 6, 8]"
10,IhQ?K?@_?,4,"[0, 2, 5, 7]"
10,IhQ?KA?_?,5,"[2, 4, 5, 7, 8]"
10,Ih_GK?@?G,4,"[0, 3, 4, 8]"
10,Ih_GK?@?O,4,"[0, 2, 6, 8]"
10,Ih_GK?@_?,4,"[0, 1, 5, 7]"
10,Ih_GKA?_?,5,"[0, 1, 5, 7, 8]"
10,Ih_GOOGA?,6,"[1, 2, 5, 6, 7, 8]"
10,Ih_GOOG_?,5,"[0, 2, 5, 6, 7]"
10,Ih_GOQ??G,5,"[0, 2, 5, 6, 7]"
10,Ih_GOQ?_?,5,"[0, 2, 5, 7, 8]"
10,Ih_GS?@?O,5,"[1, 3, 5, 6, 8]"
10,Ih_GS?@_?,4,"[0, 2, 5, 7]"
10,Ih_GSA?_?,5,"[0, 2, 5, 7, 8]"
10,Ih_K?E??G,4,"[0, 2, 5, 6]"
10,Ih_K?E?_?,5,"[0, 2, 6, 8, 9]"
10,Ih_KCA?_?,6,"[1, 2, 4, 6, 7, 8]"
10,IiPAAA??G,7,"[0, 2, 3, 4, 5, 6, 8]"
10,IiPAC?@?O,7,"[0, 2, 4, 5, 6, 7, 9]"
10,IiPAC?@_?,6,"[2, 3, 4, 6, 8, 9]"
10,IiPC?CA?_,7,"[0, 2, 3, 5, 6, 7, 9]"
10,IiPC?CA_?,6,"[0, 2, 3, 4, 5, 8]"
10,IiPC?E??G,5,"[2, 3, 5, 6, 8]"
10,IiPC?E?_?,6,"[2, 3, 4, 5, 6, 8]"
10,IiPCCA?_?,7,"[1, 2, 3, 5, 6, 7, 8]"
10,IiQ?GGC_?,6,"[0, 2, 3, 6, 7, 8]"
10,IiQ?GI??G,5,"[1, 2, 4, 7, 8]"
10,IiQ?GI?_?,6,"[0, 1, 2, 4, 6, 8]"
10,IiQ?K?@_?,5,"[2, 3, 4, 5, 7]"
10,IiQ?KA?_?,6,"[2, 3, 4, 5, 7, 8]"
10,IiQCCA?_?,7,"[0, 2, 4, 5, 6, 8, 9]"
10,Ii_GS?@?O,5,"[3, 4, 5, 7, 8]"
10,Ii_GS?@_?,5,"[0, 2, 3, 5, 8]"
10,Ii_GSA?_?,6,"[1, 2, 4, 5, 7, 9]"
10,Ii_K?E??G,4,"[2, 4, 6, 8]"
10,Ii_K?E?_?,5,"[2, 3, 4, 6, 9]"
10,Ii_KCA?_?,6,"[2, 4, 6, 7, 8, 9]"
10,IiaCCA?_?,7,"[1, 2, 4, 5, 6, 7, 9]"
10,IkE?K?@_?,4,"[1, 3, 5, 7]"
10,IkE?KA?_?,5,"[1, 3, 5, 7, 8]"
10,IkECCA?_?,6,"[1, 3, 5, 6, 7, 8]"
10,IkaCCA?_?,7,"[1, 3, 4, 5, 6, 8, 9]"
10,IsaCCA?_?,8,"[1, 2, 3, 5, 6, 7, 8, 9]"
